Fabricante;Producto;Tipo Licencia;Licencia Metrica;Precio;Moneda
BrowserStack;App testing App Live Team;Suscripción;usuario;360,0000;USD
GEOVICTORIA;Geovictoria;Suscripción;Cantidad;198598440,0000;CLP
65bit;EasyCatalog - Single Versión Upgrade;Perpétua;usuario;324,7500;USD
Articulate Global, LLC;Articulate 360 Teams;Suscripción;usuario;1499,0000;USD
Tiny Technologies Inc.;Tiny Profesional;Suscripción;usuario;90,0000;USD
Oracle - Siebel;Siebel CRM Base - Application - User Perpetual;Perpétua;Servidores;834,6500;CLP
Oracle - Siebel;Siebel CTI - Application User Perpetual;Perpétua;Servidores;36,7000;CLP
Oracle - Siebel;Siebel Dynamic Catalog - Application User Perpetual;Perpétua;Servidores;16,2900;CLP
Oracle - Siebel;Siebel Email Marketing Server - Computer Perpetual;Perpétua;CPU Capacity;4213862,0000;CLP
Oracle - Siebel;Siebel Email Response - Application User Perpetual;Perpétua;Servidores;3,7700;CLP
Oracle - Siebel;Siebel Financial Accounts - Application User Perpetual;Perpétua;Servidores;39,5900;CLP
Oracle - Siebel;Oracle WebCenter Sites Satellite Server - Named User Plus Perpetual;Perpétua;Cantidad/Usuario;4321,0000;CLP
Oracle - Siebel;Oracle WebCenter Sites Satellite Server - Processor Perpetual;Perpétua;Socket o CPU;216049,0000;CLP
Oracle - Siebel;Siebel Loyalty Engine Multi-Partner Edition - 100K Member Records Perpetual;Perpétua;Servidores;593,0000;CLP
Oracle - Siebel;Siebel Loyalty Member Services Representative - Application User Perpetual;Perpétua;Servidores;4969,0000;CLP
Oracle - Siebel;Siebel Marketing Resource Manager - Application User Perpetual;Perpétua;Servidores;2938,7400;CLP
Oracle - Siebel;Oracle Business Intelligence Foundation Suite - Named User Plus Perpetual;Perpétua;NAMED USER PLUS;31760,0000;CLP
Oracle - Siebel;Oracle WebCenter Sites Mobile Option - Named User Plus Perpetual;Perpétua;Cantidad/Usuario;3457,0000;CLP
Oracle - Siebel;Oracle WebCenter Sites Mobile Option - Processor Perpetual;Perpétua;Socket o CPU;172840,0000;CLP
Oracle - Siebel;Oracle WebCenter Sites - Named User Plus Perpetual;Perpétua;Socket o CPU;17284,0000;CLP
Oracle - Siebel;Oracle WebCenter Sites - Processor Perpetual;Perpétua;Socket o CPU;864202,0000;CLP
Oracle - Siebel;Siebel Remote Client - Application User Perpetual;Perpétua;Servidores;4,6500;CLP
Oracle - Siebel;Siebel SmartScript - Application User Perpetual;Perpétua;Cantidad/Usuario;71,4100;CLP
Oracle - Siebel;Siebel Tools - Application User Perpetual;Perpétua;Servidores;1636,8400;CLP
Oracle - Siebel;Siebel Customer Order Management Administrator - Application User Perpetual;Perpétua;Servidores;3146874,0000;CLP
Oracle - Siebel;Siebel Email/Web Offer Designer - Application User Perpetual;Perpétua;Servidores;74586,4500;CLP
Oracle - Siebel;Siebel Customer Order Management Administration Server - Nonstandard User;Perpétua;Servidores;3768315,0000;CLP
Oracle - Siebel;Siebel Financial Services CRM Base Option - Application User Perpetual;Perpétua;Servidores;128,5200;CLP
Oracle - Siebel;Siebel Loyalty Manager - Application User Perpetual;Perpétua;Servidores;1075,3300;CLP
Oracle - Siebel;Siebel Marketing Server - unlimited records - Computer Perpetual;Perpétua;CPU Capacity;21070167,0000;CLP
Oracle - Siebel;Siebel Mobile - Application User Perpetual;Perpétua;Servidores;18,5300;CLP
Oracle - Siebel;Siebel Partner Manager - Application User Perpetual;Perpétua;Servidores;227,6500;CLP
Oracle - Siebel;Siebel Quote and Order Capture - Application User Perpetual;Perpétua;Servidores;17,1000;CLP
PortSwigger;Burp Suite Professional;Suscripción;usuario;475,0000;USD
Envato Elements Pty Ltd;Envato Elements;Suscripción;usuario;150,0000;USD
Envato Elements Pty Ltd;Envato Elements;Suscripción;usuario;708,0000;USD
Semrush;Semrush Suscripción Business;Suscripción;usuario;68966,5500;USD
RYTE GMBH;Ryte;Suscripción;Cantidad;31729,2000;USD
RYTE GMBH;Ryte;Suscripción;Cantidad;31729,0000;USD
Smartsheet;Licencias Smartsheet Business Plan - Paid User;Suscripción;usuario;348,0000;USD
Notion;Notion Plan Business;Suscripción;usuario;180,0000;USD
BAYMARD;Baymard Research;Suscripción;usuario;9500,0000;USD
Kahoot! ASA;Kahoot! 360 Pro;Suscripción;usuario;708,0000;USD
Cloudflare;Cloudflare;Suscripción;usuario;15398,9000;USD
Mentimeter;Mentimeter Pro;Suscripción;Cantidad/Usuario;156,0000;USD
Softguard;Softguard Ultra;Suscripción;Cantidad/Usuario;10490,0000;USD
Soti;SOTI MobiControl;Suscripción;Dispositivo;26,5200;USD
Canva;Canva for teams;Suscripción;Cantidad/Usuario;1520,0000;PEN
Canva;Canva for teams;Suscripción;Cantidad/Usuario;180000,0000;CLP
Parallels International GmbH.;Parallels Desktop for Mac Professional Edition;Suscripción;usuario;118,0000;USD
Parallels International GmbH.;Parallels Desktop for Mac Professional Edition;Suscripción;usuario;118,0000;USD
Sendgrid;Sendgrid;Suscripción;usuario;3648,0000;USD
VWO;VWO Testing & Mobile;Suscripción;Sesiones Disponibles;60000,0000;USD
Resguarda;Linea Etica;Suscripción;Cantidad/Usuario;42000,0000;USD
App Samurai INC;Storyly;Suscripción;Volumen de vistas (WebPage);192427,0000;USD
NEOSECURE;BTS;Suscripción;Transacciones Anuales;199992,0000;USD
NOVARED;CyberArk - Secure IT & Ops Users - Enterprise;Suscripción;Cantidad/Usuario;1170,0000;USD
NOVARED;CyberArk - Secure IT & Ops Users - Standard;Suscripción;Cantidad/Usuario;775,0000;USD
NOVARED;CyberArk Secrets Hub;Suscripción;Servidor Virtual;38400,0000;USD
NOVARED;CyberArk Addon Secrets Hub;Suscripción;Servidor Virtual;1765,0000;USD
SalesForce;Loyalty - Stogare/API Call/Pipeines;Suscripción;Transacciones Anuales;64820,0000;USD
QRFY;QRFY;Suscripción;Cantidad;147,0000;EUR
Bazaarvoice;Bazaarvoice;Suscripción;Servidor Virtual;87022,6500;USD
Datadog;Datadog;Suscripción;GB Blade month;456,0000;USD
SEON Technologies Lt;SEON ;Suscripción;Eventos por mes;315670,0000;USD
FORTRA;Powertech Exit Point Manager for IBM I - Primary Subscription;Perpétua;CPU Capacity;7043,4400;USD
TDI XCOM;CA-XCOM;Suscripción;usuario;2570,0000;USD
Acoustic;Demandtec;Suscripción;RUM (Revenue Under Managment);305081,0000;USD
Sonar;SonarQube;Suscripción;Dispositivo;64700,0000;USD
Zebra BI d.d.;Zebra BI for Power BI - Enterprise Plan;Suscripción;usuario;192,0000;USD
Office Timeline;Office Timeline Add-in Expert;Suscripción;usuario;271,6600;USD
Oracle- MFP;Merchandise Financial Planning;Suscripción;Core;127437909,0000;CLP
Ivanti Velocity;140-SUB-VELOCTE;Suscripción;usuario;118000,0000;CLP
Blue Yonder;Plataforma Catman Blue Yonder;Suscripción;Tarifa Plana (Flat Fee);252000,0000;USD
Blue Yonder;Plataforma Catman Blue Yonder - MH;Suscripción;Tarifa Plana (Flat Fee);174000,0000;USD
Blue Yonder;Plataforma Catman Blue Yonder - MH;Suscripción;Tarifa Plana (Flat Fee);174000,0000;USD
RunsOn;RunsOn - Premium Support;Suscripción;Tarifa Plana (Flat Fee);1750,0000;USD
DPARADIG;Gestor de Eventos;Suscripción;Recursos monitorizados;86955368,0000;CLP
DPARADIG;Visualización de Infraestructura de Redes;Suscripción;Recursos monitorizados;61451495,0000;CLP
Revionics;Price Optimization;Suscripción;Tarifa Plana (Flat Fee);353854,0000;USD
Revionics;Price Optimization;Suscripción;Tarifa Plana (Flat Fee);634864,0000;USD
Commercetools;Commercetools Inc.;Suscripción;Transacciones Anuales;1124775,0000;USD
Supermetrics OY;Business Lite package;Suscripción;datos cuantitativos;7500,0000;USD
XBREIN;Gbrein;Suscripción;Cantidad/Usuario;38038185,6000;CLP
XBREIN;Gbrein;Suscripción;Cantidad/Usuario;15849244,0000;CLP
Shift Labor;Shift Workforce Management;Suscripción;usuario;80476366,0000;CLP
Seidor Analytics;SNOWFLAKE;Suscripción;Por Definir;130000,0000;USD
INTEROP CHILE CONSULTORES DE;Direct Link for SAP;Suscripción;usuario;4627,3500;USD
INTEROP CHILE CONSULTORES DE;Starter Pack Plataforma Robots Enterprise y HighBond;Suscripción;usuario;27825,0000;USD
INTEROP CHILE CONSULTORES DE;Suscripción usuarios Professional;Suscripción;usuario;1283,4800;USD
Spreedly;BOVEDA DE TARJETAS;Suscripción;Transacciones Anuales;191546,0000;USD
Tdilatam;UC4;Suscripción;;67500,0000;USD
Elementor Ltd.;Elementor Pro - Advanced Solo;Suscripción;usuario;83,8800;USD
Custom IT;VEEAM;Perpétua;Servidores;44000,0000;USD
Synergy Consulting;ESET PROTECT ELITE;Suscripción;;63000,0000;USD
Optiv Security Inc;Delinea;Suscripción;;93494,7400;USD
